Gender,Age,HoursTV,HoursStudy,ParentScale,FriendOpinion,FriendBehavior,CertainPun,MoralScale,DelinqScale,ParentsKnow,YouDrink,FriendsDrink,CourtDrink,HurtVandalism,DScale2,TV2,Study2,Parent2,Drink2
1,15,20,4,7,8,4,9,20,0,4,1,1,5,3,0,1,0,1,0
0,15,4,14,6,19,9,9,14,80,3,1,4,5,3,1,0,1,1,1
0,15,2,3,5,13,11,15,16,28,3,1,1,5,3,1,0,0,0,0
0,15,20,15,8,8,4,12,20,0,4,1,1,5,2,0,1,1,1,0
0,15,14,10,5,16,7,11,18,109,2,2,4,5,3,1,0,1,0,1
0,15,15,13,7,13,9,8,14,63,3,1,3,3,3,1,1,1,1,0
1,15,18,5,5,15,7,9,20,0,2,1,2,5,1,0,1,0,0,0
1,15,10,6,4,34,9,10,11,118,2,3,5,5,2,1,0,0,0,1
1,15,0,0,4,14,6,4,16,10,2,1,4,3,3,1,0,0,0,1
1,15,22,12,8,19,10,5,16,118,4,2,4,5,1,1,1,1,1,1
0,15,2,2,8,22,5,13,20,0,4,1,1,5,2,0,0,0,1,0
1,15,1,8,8,15,6,6,20,0,4,2,3,5,2,0,0,0,1,0
0,15,5,1,6,17,5,11,19,2,3,2,2,5,2,1,0,0,1,0
1,15,4,2,6,16,6,10,20,0,3,2,2,4,2,0,0,0,1,0
0,15,10,7,7,9,4,9,20,0,4,1,2,5,3,0,0,0,1,0
0,15,10,5,7,17,6,13,20,12,4,2,3,5,2,1,0,0,1,0
1,15,25,6,7,22,10,9,17,5,4,4,5,5,1,1,1,0,1,1
1,15,30,8,6,17,5,13,20,1,3,2,2,5,2,0,1,0,1,0
0,15,10,12,8,12,6,12,20,0,4,1,1,5,2,0,0,1,1,0
0,14,6,8,7,9,4,12,19,0,4,1,1,4,2,0,0,0,1,0
0,15,5,29,4,25,8,10,16,60,2,2,4,5,3,1,0,1,0,1
0,15,8,3,8,20,8,4,18,5,4,2,3,5,1,1,0,0,1,0
1,14,20,5,3,21,9,12,20,75,2,2,4,5,1,1,1,0,0,1
1,15,4,1,8,18,9,12,20,0,4,5,1,5,3,0,0,0,1,0
1,15,3,4,6,25,5,15,20,0,3,4,3,5,1,0,0,0,1,0
1,15,2,3,8,18,6,14,16,0,4,2,2,4,1,0,0,0,1,0
1,15,8,7,7,25,7,13,17,2,4,3,4,5,1,1,0,0,1,1
1,15,12,8,6,37,13,4,8,31,3,5,5,4,1,1,0,0,1,1
1,15,42,2,4,19,7,14,20,9,2,1,1,5,3,1,1,0,0,0
1,15,25,10,6,22,6,10,20,9,3,2,3,5,2,1,1,1,1,0
1,15,20,5,6,18,6,8,18,7,3,3,5,4,3,1,1,0,1,1
1,16,3,1,6,13,7,9,16,10,3,1,4,4,3,1,0,0,1,1
0,15,1,4,8,12,10,9,19,31,4,1,1,5,2,1,0,0,1,0
0,16,7,6,8,14,4,11,17,2,4,1,5,3,3,1,0,0,1,1
