ID,Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation,filter_$
148,USA,NC,2021,12,Male,17,Right-Handed,177,27,185,2,Walk,5,.432,40,Tennis,1000,1000,1000,1000,1000,1000,28,Left foot,55,55,Index finger,2,Fall,No,No,Rice/Noodle dishes,Water,Mathematics and statistics,7,9,4,Yes - broadband connection,Text messaging,13,17,17,2,26,3,12,5,20,4,120,3,1,3,A lot,Graduate degree,Rock and roll,Freeze time,Healthy,Coach or club leader,Environment,1
149,USA,NC,2015,11,Female,17,Right-Handed,175,22,140,1,Car,15,.25,67,Other,1000,1000,1000,995,1000,1000,20,Right foot,25,30,Same length,12,Winter,Yes,No,Seafood,Energy drink,Mathematics and statistics,4,8,3,Yes - dial-up connection,In person,15,50,20,2,10,1,32,2,30,45,15,0,25,1,Some,High school,Rap/Hip hop,Telepathy,Happy,Business person,Education/Youth development,1
150,USA,NC,2020,12,Female,17,Left-Handed,168,24,160,2,Car,5,.596,48,Soccer,1000,1000,1000,999,503,652,24,Same length,80,70,Index finger,1,Fall,No,No,Desserts,Water,Mathematics and statistics,7,9,4,Yes - other,Text messaging,60,50,10,8,12,2,1,0,5,10,18,10,20,3,A lot,Graduate degree,Rap/Hip hop,Telepathy,Happy,Relative,International aid,0
151,USA,NC,2020,12,Male,17,Right-Handed,180,28,174,1,Car,10,.462,51,Skateboarding/Rollerblading,1000,1000,500,800,200,200,24,Right foot,70,55,Ring finger,11,Fall,No,No,Meat,Energy drink,Physical education,5,10,3,Yes - broadband connection,Text messaging,100,90,20,30,30,15,15,25,30,40,30,10,30,20,A lot,Undergraduate degree,Rap/Hip hop,Telepathy,Happy,Religious figure,"Arts, culture, sports",1
152,USA,NC,2018,12,Female,17,Right-Handed,167,24,158,2,Car,7,.356,37,Bowling,800,800,600,500,200,400,24,Same length,70,75,Ring finger,9,Winter,No,No,Rice/Noodle dishes,Water,Science,4,10,3,Yes - other,Text messaging,35,39,5,1,20,7,1,2,10,5,10,2,4,2,A lot,Graduate degree,Pop,Freeze time,Happy,Friend,Health,0
153,USA,NC,2012,12,Female,17,Right-Handed,155,24,160,1,Walk,12,.468,31,Basketball,700,550,650,650,400,400,24,Same length,79,81,Ring finger,6,Spring,Yes,No,Pizza/Pasta,Water,Mathematics and statistics,7,8,6,Yes - broadband connection,In person,10,15,9,2,20,12,5,0,6,3,6,3,0,4,Some,Undergraduate degree,Other,Fly,Happy,Religious figure,Religious,1
158,USA,NC,2017,10,Male,15,Right-Handed,173,25,169,2,Car,18,.317,31,Running/Jogging,305,310,385,385,80,5,25,Same length,60,70,Ring finger,2,Winter,Yes,No,Seafood,Water,Mathematics and statistics,7,12,4,Yes - broadband connection,E-mail,2,1,1,1,8,8,1,8,0,0,4,2,5,2,A lot,Less than high school,Techno/Electronic,Fly,Rich,Religious figure,International aid,1
159,USA,NC,2015,12,Female,15,Right-Handed,157,23,156,2,Bus,60,.402,38,None,1000,900,1000,1000,1000,1000,22,Right foot,55,55,Same length,5,Fall,No,No,Fruit,Coffee,Music,5,9,3,Yes - broadband connection,Cell phone,50,75,0,0,10,21,0,0,25,7,14,0,0,7,A lot,Other,Punk rock,Telepathy,Famous,Musician or singer,"Arts, culture, sports",1
202,USA,NC,2018,12,Male,21,Ambidextrous,178,27,184,2,Walk,10,.317,43,Baseball/Softball,1000,738,674,743,567,845,27.5,Left foot,40,55,Ring finger,8,Winter,Yes,No,Meat,Soft drink (non-caffeinated),Science,6,7,1,Yes - broadband connection,Text messaging,150,150,18,1,20,0,15,20,3,3,2,7,0,2,A lot,Graduate degree,Other,Telepathy,Healthy,Doctor or nurse,"Arts, culture, sports",1
203,USA,NC,2015,12,Female,16,Ambidextrous,163,23,156,1,Car,10,.313,38,Baseball/Softball,80,70,65,90,70,75,21,Right foot,73,75,Ring finger,4,Spring,No,No,Poultry,Water,Mathematics and statistics,9,12,4,Yes - broadband connection,Text messaging,20,20,10,1,2,35,5,2,1,6,20,5,0,5,Very little,Graduate degree,Pop,Freeze time,Happy,Musician or singer,Education/Youth development,1
