Year,Player,School,GradStatus,Sprint_40yd,Vertical_Jump,Bench_Press_Reps,Broad_Jump,Agility_3cone,Shuttle,Drafted_Round,Drafted_Pick,BMI,Player_Type,Position_Type
2018,Marcus Davenport\DaveMa00,Texas-San Antonio,No,4.58,85.09,22,314.96,7.2,4.41,1,14,30.5079502,defense,defensive_lineman
2018,Azeem Victor\VictAz00,Washington,Yes,4.72,82.55,19,292.1,7.2,4.4,6,216,31.66385797,defense,line_backer
2018,Kolton Miller\MillKo00,UCLA,Yes,4.95,80.01,24,307.34,7.34,4.49,1,15,33.11210183,offense,offensive_lineman
2019,Keesean Johnson\JohnKe07,Fresno St.,Yes,4.6,76.2,14,297.18,7.28,4.23,6,174,26.51848105,offense,backs_receivers
2019,Kaleb McGary\McGaKa00,Washington,Yes,5.05,85.09,23,281.94,7.66,4.58,1,31,35.71111308,offense,offensive_lineman
2019,Dennis Daley\DaleDe00,South Carolina,Yes,5.23,67.31,20,261.62,7.95,4.92,6,212,37.59032834,offense,offensive_lineman
2019,Jonah Williams\WillJo10,Alabama,No,5.12,71.12,23,254,8.01,4.79,1,11,36.76021694,offense,offensive_lineman
2019,Trayveon Williams\WillTr06,Texas A&M,No,4.51,83.82,19,307.34,7.44,4.44,6,182,31.32187141,offense,backs_receivers
2019,Noah Fant\FantNo00,Iowa,No,4.5,100.33,20,322.58,6.81,4.22,1,20,30.30892059,offense,backs_receivers
2019,T.J. Hockenson\HockTJ00,Iowa,No,4.7,95.25,17,312.42,7.02,4.18,1,8,29.76395083,offense,backs_receivers
2019,Dexter Williams\WillDe07,Notre Dame,Yes,4.57,91.44,17,330.2,7,4.16,6,194,29.56769508,offense,backs_receivers
2019,Darnell Savage\SavaDa00,Maryland,No,4.36,100.33,11,320.04,7.03,4.14,1,21,27.61511144,defense,defensive_back
2019,Isaiah Prince\PrinIs00,Ohio St.,No,5.09,68.58,23,292.1,7.9,5.02,6,202,35.24592732,offense,offensive_lineman
2019,Andre Dillard\DillAn00,Washington St.,Yes,4.96,73.66,24,299.72,7.44,4.4,1,22,37.35316539,offense,offensive_lineman
2019,Kaden Smith\SmitKa00,Stanford,No,4.92,81.28,15,274.32,7.08,4.47,6,176,30.23827674,offense,backs_receivers
2019,Travis Homer\HomeTr00,Miami (FL),No,4.48,100.33,17,330.2,7.07,4.31,6,204,28.84020112,offense,backs_receivers
2019,Kelvin Harmon\HarmKe00,North Carolina St.,Yes,4.6,82.55,18,297.18,7.15,4.32,6,206,28.37442971,offense,backs_receivers
